id,room_id,partner_id,room_risk_score_id,room_recommendation_id,snapshot_date,primary_action,secondary_actions_json,priority_score,action_reason_json,candidate_actions_json,generated_at,created_at,updated_at
1,1,12,1,,12/5/2026,monitor_only,[],10,"{""strategy"": ""growth_first"", ""risk_class"": ""low"", ""campaign_type"": null, ""price_gap_pct"": 13.4, ""primary_issue"": ""monitor_only"", ""discount_targets"": [], ""benchmark_strength"": ""medium"", ""room_price_per_day"": 6170, ""revenue_anchor_type"": ""current_revenue"", ""discount_target_scope"": ""none"", ""risk_confidence_score"": 90, ""has_discount_component"": false}","[{""type"": ""monitor_only"", ""label"": ""Collect more signal before changing price or campaign settings""}]",12/5/2026 10:40,12/5/2026 10:40,12/5/2026 10:40
2,2,12,2,,12/5/2026,campaign_launch,"[""monitor_only""]",47.88,"{""strategy"": ""growth_first"", ""risk_class"": ""medium"", ""campaign_type"": 2, ""price_gap_pct"": -12, ""primary_issue"": ""low_demand"", ""discount_targets"": [""rent_fee"", ""option_fee""], ""benchmark_strength"": ""strong"", ""room_price_per_day"": 4715, ""revenue_anchor_type"": ""epr_fallback"", ""discount_target_scope"": ""selected_fees"", ""risk_confidence_score"": 57.36, ""has_discount_component"": true}","[{""type"": ""campaign_launch"", ""label"": ""Run a short market test campaign with a light offer""}, {""type"": ""monitor_only"", ""label"": ""Monitor the next 7 days before a larger change""}]",12/5/2026 10:40,12/5/2026 10:40,12/5/2026 10:40
3,3,2,3,,12/5/2026,listing_refresh,"[""campaign_launch""]",60.88,"{""strategy"": ""growth_first"", ""risk_class"": ""medium"", ""campaign_type"": null, ""price_gap_pct"": -13.1, ""primary_issue"": ""low_conversion"", ""discount_targets"": [], ""benchmark_strength"": ""broad"", ""room_price_per_day"": 4390, ""revenue_anchor_type"": ""current_revenue"", ""discount_target_scope"": ""none"", ""risk_confidence_score"": 52.58, ""has_discount_component"": false}","[{""type"": ""listing_refresh"", ""label"": ""Improve photos, options, and room copy""}, {""type"": ""price_adjustment"", ""label"": ""Review pricing and hidden fee friction""}, {""type"": ""campaign_launch"", ""label"": ""Re-test demand with a small campaign after fixes""}]",12/5/2026 10:40,12/5/2026 10:40,12/5/2026 10:40
4,4,2,4,,12/5/2026,listing_refresh,"[""campaign_launch""]",3.25,"{""strategy"": ""growth_first"", ""risk_class"": ""low"", ""campaign_type"": null, ""price_gap_pct"": 0, ""primary_issue"": ""low_conversion"", ""discount_targets"": [], ""benchmark_strength"": ""broad"", ""room_price_per_day"": 3600, ""revenue_anchor_type"": ""current_revenue"", ""discount_target_scope"": ""none"", ""risk_confidence_score"": 57.54, ""has_discount_component"": false}","[{""type"": ""listing_refresh"", ""label"": ""Improve photos, options, and room copy""}, {""type"": ""price_adjustment"", ""label"": ""Review pricing and hidden fee friction""}, {""type"": ""campaign_launch"", ""label"": ""Re-test demand with a small campaign after fixes""}]",12/5/2026 10:40,12/5/2026 10:40,12/5/2026 10:40
5,5,2,5,,12/5/2026,listing_refresh,"[""campaign_launch""]",49.63,"{""strategy"": ""growth_first"", ""risk_class"": ""medium"", ""campaign_type"": null, ""price_gap_pct"": 0, ""primary_issue"": ""low_conversion"", ""discount_targets"": [], ""benchmark_strength"": ""broad"", ""room_price_per_day"": 0, ""revenue_anchor_type"": ""current_revenue"", ""discount_target_scope"": ""none"", ""risk_confidence_score"": 50.14, ""has_discount_component"": false}","[{""type"": ""listing_refresh"", ""label"": ""Improve photos, options, and room copy""}, {""type"": ""price_adjustment"", ""label"": ""Review pricing and hidden fee friction""}, {""type"": ""campaign_launch"", ""label"": ""Re-test demand with a small campaign after fixes""}]",12/5/2026 10:40,12/5/2026 10:40,12/5/2026 10:40
6,6,2,6,,12/5/2026,price_adjustment,"[""campaign_launch""]",21.25,"{""strategy"": ""growth_first"", ""risk_class"": ""low"", ""campaign_type"": null, ""price_gap_pct"": 48.7, ""primary_issue"": ""overpriced"", ""discount_targets"": [""rent_fee""], ""benchmark_strength"": ""medium"", ""room_price_per_day"": 4700, ""revenue_anchor_type"": ""current_revenue"", ""discount_target_scope"": ""rent_only"", ""risk_confidence_score"": 77.52, ""has_discount_component"": true}","[{""type"": ""price_adjustment"", ""label"": ""Reduce price by 15-20% to realign with similar rooms""}, {""type"": ""campaign_launch"", ""label"": ""Re-launch demand after the price reset""}]",12/5/2026 10:40,12/5/2026 10:40,12/5/2026 10:40
7,7,2,7,,12/5/2026,campaign_launch,"[""monitor_only""]",21.75,"{""strategy"": ""growth_first"", ""risk_class"": ""low"", ""campaign_type"": 2, ""price_gap_pct"": 0, ""primary_issue"": ""low_demand"", ""discount_targets"": [""rent_fee"", ""option_fee""], ""benchmark_strength"": ""broad"", ""room_price_per_day"": 0, ""revenue_anchor_type"": ""current_revenue"", ""discount_target_scope"": ""selected_fees"", ""risk_confidence_score"": 34.7, ""has_discount_component"": true}","[{""type"": ""campaign_launch"", ""label"": ""Run a short market test campaign with a light offer""}, {""type"": ""monitor_only"", ""label"": ""Monitor the next 7 days before a larger change""}]",12/5/2026 10:40,12/5/2026 10:40,12/5/2026 10:40
8,8,2,8,,12/5/2026,price_adjustment,"[""campaign_launch""]",88.88,"{""strategy"": ""growth_first"", ""risk_class"": ""high"", ""campaign_type"": null, ""price_gap_pct"": 23.7, ""primary_issue"": ""overpriced"", ""discount_targets"": [""rent_fee""], ""benchmark_strength"": ""broad"", ""room_price_per_day"": 4700, ""revenue_anchor_type"": ""current_revenue"", ""discount_target_scope"": ""rent_only"", ""risk_confidence_score"": 50.74, ""has_discount_component"": true}","[{""type"": ""price_adjustment"", ""label"": ""Test a 10-15% price reduction against similar rooms""}, {""type"": ""campaign_launch"", ""label"": ""Re-launch demand after the price reset""}]",12/5/2026 10:40,12/5/2026 10:40,12/5/2026 10:40
9,9,2,9,,12/5/2026,campaign_launch,"[""listing_refresh""]",63,"{""strategy"": ""growth_first"", ""risk_class"": ""medium"", ""campaign_type"": 1, ""price_gap_pct"": 0, ""primary_issue"": ""low_visibility"", ""discount_targets"": [""rent_fee"", ""cleaning_fee"", ""other_fee"", ""season_fee"", ""option_fee"", ""initial_fee""], ""benchmark_strength"": ""broad"", ""room_price_per_day"": 0, ""revenue_anchor_type"": ""epr_fallback"", ""discount_target_scope"": ""all_discountable_fees"", ""risk_confidence_score"": 30, ""has_discount_component"": true}","[{""type"": ""campaign_launch"", ""label"": ""Launch a short discount campaign with visibility support""}, {""type"": ""listing_refresh"", ""label"": ""Refresh title image and first-screen copy""}, {""type"": ""price_adjustment"", ""label"": ""Review pricing only after demand signal improves""}]",12/5/2026 10:40,12/5/2026 10:40,12/5/2026 10:40
10,10,2,10,,12/5/2026,price_adjustment,"[""campaign_launch""]",81,"{""strategy"": ""growth_first"", ""risk_class"": ""high"", ""campaign_type"": null, ""price_gap_pct"": 48.7, ""primary_issue"": ""overpriced"", ""discount_targets"": [""rent_fee""], ""benchmark_strength"": ""medium"", ""room_price_per_day"": 4700, ""revenue_anchor_type"": ""epr_fallback"", ""discount_target_scope"": ""rent_only"", ""risk_confidence_score"": 53.84, ""has_discount_component"": true}","[{""type"": ""price_adjustment"", ""label"": ""Reduce price by 15-20% to realign with similar rooms""}, {""type"": ""campaign_launch"", ""label"": ""Re-launch demand after the price reset""}]",12/5/2026 10:40,12/5/2026 10:40,12/5/2026 10:40
