id,room_id,partner_id,snapshot_date,risk_score,confidence_score,risk_class,primary_issue,signals_json,features_json,calculated_at,created_at,updated_at
1,1,12,12/5/2026,10,90,low,monitor_only,"[""monitor_only"", ""above_peer_price"", ""revenue_decline""]","{""metrics"": {""revenue"": 1044000, ""inquiry_count"": 32, ""occupancy_rate"": 96.8, ""conversion_rate"": 25, ""previous_revenue"": 2322000, ""reservation_count"": 8}, ""maturity"": {""status"": ""mature"", ""room_age_days"": 516}, ""benchmarks"": {""portfolio_avg_revenue"": 1134.87, ""portfolio_avg_occupancy_rate"": 0.7, ""portfolio_avg_conversion_rate"": 0}, ""fee_snapshot"": {""component_source"": {""base_price_id"": 60, ""base_price_package_type"": ""custom""}, ""components_daily"": {""rent_fee"": 6170, ""other_fee"": 0, ""season_fee"": 0, ""initial_fee"": 30000, ""utility_fee"": 0, ""cleaning_fee"": 0}, ""missing_components"": [""utility_fee"", ""cleaning_fee"", ""other_fee"", ""season_fee""], ""available_components"": [""rent_fee"", ""initial_fee""], ""total_effective_price_daily"": 36170}, ""peer_comparison"": {""price_gap"": 727.14, ""sample_size"": 7, ""price_gap_pct"": 13.4, ""room_size_gap"": 3.43, ""benchmark_mode"": ""geo"", ""benchmark_scope"": ""radius_2km"", ""benchmark_strength"": ""medium""}}",12/5/2026 10:32,12/5/2026 10:32,12/5/2026 10:32
2,2,12,12/5/2026,47.88,57.36,medium,low_demand,"[""low_demand"", ""low_occupancy"", ""no_recent_booking"", ""revenue_decline""]","{""metrics"": {""revenue"": 0, ""inquiry_count"": 5, ""occupancy_rate"": 6.5, ""conversion_rate"": 0, ""previous_revenue"": 30000, ""reservation_count"": 0}, ""maturity"": {""status"": ""mature"", ""room_age_days"": 516}, ""benchmarks"": {""portfolio_avg_revenue"": 1134.87, ""portfolio_avg_occupancy_rate"": 0.7, ""portfolio_avg_conversion_rate"": 0}, ""fee_snapshot"": {""component_source"": {""base_price_id"": 60, ""base_price_package_type"": ""custom""}, ""components_daily"": {""rent_fee"": 4715, ""other_fee"": 0, ""season_fee"": 0, ""initial_fee"": 30000, ""utility_fee"": 0, ""cleaning_fee"": 0}, ""missing_components"": [""utility_fee"", ""cleaning_fee"", ""other_fee"", ""season_fee""], ""available_components"": [""rent_fee"", ""initial_fee""], ""total_effective_price_daily"": 34715}, ""peer_comparison"": {""price_gap"": -645, ""sample_size"": 5, ""price_gap_pct"": -12, ""room_size_gap"": -2.93, ""benchmark_mode"": ""geo"", ""benchmark_scope"": ""radius_1km"", ""benchmark_strength"": ""strong""}}",12/5/2026 10:32,12/5/2026 10:32,12/5/2026 10:32
3,3,2,12/5/2026,60.88,52.58,medium,low_conversion,"[""low_conversion"", ""low_occupancy"", ""high_inquiry_low_booking"", ""no_recent_booking""]","{""metrics"": {""revenue"": 91140.64, ""inquiry_count"": 26, ""occupancy_rate"": 16.1, ""conversion_rate"": 0, ""previous_revenue"": 22500, ""reservation_count"": 0}, ""maturity"": {""status"": ""mature"", ""room_age_days"": 516}, ""benchmarks"": {""portfolio_avg_revenue"": 1134.87, ""portfolio_avg_occupancy_rate"": 0.7, ""portfolio_avg_conversion_rate"": 0}, ""fee_snapshot"": {""component_source"": {""base_price_id"": 10, ""base_price_package_type"": ""custom""}, ""components_daily"": {""rent_fee"": 4390, ""other_fee"": 0, ""season_fee"": 0, ""initial_fee"": 0, ""utility_fee"": 0, ""cleaning_fee"": 12}, ""missing_components"": [""utility_fee"", ""initial_fee"", ""other_fee"", ""season_fee""], ""available_components"": [""rent_fee"", ""cleaning_fee""], ""total_effective_price_daily"": 4402}, ""peer_comparison"": {""price_gap"": -660, ""sample_size"": 1, ""price_gap_pct"": -13.1, ""room_size_gap"": 0, ""benchmark_mode"": ""address"", ""benchmark_scope"": ""municipality_fallback"", ""benchmark_strength"": ""broad""}}",12/5/2026 10:32,12/5/2026 10:32,12/5/2026 10:32
4,4,2,12/5/2026,3.25,57.54,low,low_conversion,"[""low_conversion"", ""high_inquiry_low_booking"", ""revenue_decline""]","{""metrics"": {""revenue"": 151075.86, ""inquiry_count"": 23, ""occupancy_rate"": 48.4, ""conversion_rate"": 8.7, ""previous_revenue"": 178000, ""reservation_count"": 2}, ""maturity"": {""status"": ""mature"", ""room_age_days"": 516}, ""benchmarks"": {""portfolio_avg_revenue"": 1134.87, ""portfolio_avg_occupancy_rate"": 0.7, ""portfolio_avg_conversion_rate"": 0}, ""fee_snapshot"": {""component_source"": {""base_price_id"": 10, ""base_price_package_type"": ""custom""}, ""components_daily"": {""rent_fee"": 3600, ""other_fee"": 0, ""season_fee"": 0, ""initial_fee"": 0, ""utility_fee"": 0, ""cleaning_fee"": 0}, ""missing_components"": [""utility_fee"", ""cleaning_fee"", ""initial_fee"", ""other_fee"", ""season_fee""], ""available_components"": [""rent_fee""], ""total_effective_price_daily"": 3600}, ""peer_comparison"": {""price_gap"": 3600, ""sample_size"": 0, ""price_gap_pct"": 0, ""room_size_gap"": 15.9, ""benchmark_mode"": ""address"", ""benchmark_scope"": ""municipality_fallback"", ""benchmark_strength"": ""broad""}}",12/5/2026 10:32,12/5/2026 10:32,12/5/2026 10:32
5,5,2,12/5/2026,49.63,50.14,medium,low_conversion,"[""low_conversion"", ""low_occupancy"", ""high_inquiry_low_booking""]","{""metrics"": {""revenue"": 90000, ""inquiry_count"": 33, ""occupancy_rate"": 8.1, ""conversion_rate"": 6.1, ""previous_revenue"": 0, ""reservation_count"": 2}, ""maturity"": {""status"": ""mature"", ""room_age_days"": null}, ""benchmarks"": {""portfolio_avg_revenue"": 1134.87, ""portfolio_avg_occupancy_rate"": 0.7, ""portfolio_avg_conversion_rate"": 0}, ""fee_snapshot"": {""component_source"": {""base_price_id"": null, ""base_price_package_type"": """"}, ""components_daily"": {""rent_fee"": 0, ""other_fee"": 0, ""season_fee"": 0, ""initial_fee"": 0, ""utility_fee"": 0, ""cleaning_fee"": 0}, ""missing_components"": [""rent_fee"", ""utility_fee"", ""cleaning_fee"", ""initial_fee"", ""other_fee"", ""season_fee""], ""available_components"": [], ""total_effective_price_daily"": 0}, ""peer_comparison"": {""price_gap"": 0, ""sample_size"": 0, ""price_gap_pct"": 0, ""room_size_gap"": 0, ""benchmark_mode"": """", ""benchmark_scope"": """", ""benchmark_strength"": ""broad""}}",12/5/2026 10:32,12/5/2026 10:32,12/5/2026 10:32
6,6,2,12/5/2026,21.25,77.52,low,overpriced,"[""overpriced"", ""high_inquiry_low_booking"", ""above_peer_price"", ""revenue_decline""]","{""metrics"": {""revenue"": 120000, ""inquiry_count"": 23, ""occupancy_rate"": 40.3, ""conversion_rate"": 8.7, ""previous_revenue"": 482000, ""reservation_count"": 2}, ""maturity"": {""status"": ""mature"", ""room_age_days"": 516}, ""benchmarks"": {""portfolio_avg_revenue"": 1134.87, ""portfolio_avg_occupancy_rate"": 0.7, ""portfolio_avg_conversion_rate"": 0}, ""fee_snapshot"": {""component_source"": {""base_price_id"": 10, ""base_price_package_type"": ""custom""}, ""components_daily"": {""rent_fee"": 4700, ""other_fee"": 0, ""season_fee"": 0, ""initial_fee"": 0, ""utility_fee"": 0, ""cleaning_fee"": 0}, ""missing_components"": [""utility_fee"", ""cleaning_fee"", ""initial_fee"", ""other_fee"", ""season_fee""], ""available_components"": [""rent_fee""], ""total_effective_price_daily"": 4700}, ""peer_comparison"": {""price_gap"": 1538.89, ""sample_size"": 18, ""price_gap_pct"": 48.7, ""room_size_gap"": -0.5, ""benchmark_mode"": ""address"", ""benchmark_scope"": ""municipality_fallback"", ""benchmark_strength"": ""medium""}}",12/5/2026 10:32,12/5/2026 10:32,12/5/2026 10:32
7,7,2,12/5/2026,21.75,34.7,low,low_demand,"[""low_demand"", ""low_occupancy"", ""revenue_decline""]","{""metrics"": {""revenue"": 112000, ""inquiry_count"": 9, ""occupancy_rate"": 22.6, ""conversion_rate"": 22.2, ""previous_revenue"": 155999.98, ""reservation_count"": 2}, ""maturity"": {""status"": ""mature"", ""room_age_days"": null}, ""benchmarks"": {""portfolio_avg_revenue"": 1134.87, ""portfolio_avg_occupancy_rate"": 0.7, ""portfolio_avg_conversion_rate"": 0}, ""fee_snapshot"": {""component_source"": {""base_price_id"": null, ""base_price_package_type"": """"}, ""components_daily"": {""rent_fee"": 0, ""other_fee"": 0, ""season_fee"": 0, ""initial_fee"": 0, ""utility_fee"": 0, ""cleaning_fee"": 0}, ""missing_components"": [""rent_fee"", ""utility_fee"", ""cleaning_fee"", ""initial_fee"", ""other_fee"", ""season_fee""], ""available_components"": [], ""total_effective_price_daily"": 0}, ""peer_comparison"": {""price_gap"": 0, ""sample_size"": 0, ""price_gap_pct"": 0, ""room_size_gap"": 0, ""benchmark_mode"": """", ""benchmark_scope"": """", ""benchmark_strength"": ""broad""}}",12/5/2026 10:32,12/5/2026 10:32,12/5/2026 10:32
8,8,2,12/5/2026,88.88,50.74,high,overpriced,"[""overpriced"", ""low_occupancy"", ""high_inquiry_low_booking"", ""above_peer_price"", ""no_recent_booking""]","{""metrics"": {""revenue"": 72000, ""inquiry_count"": 15, ""occupancy_rate"": 8.1, ""conversion_rate"": 0, ""previous_revenue"": 0, ""reservation_count"": 0}, ""maturity"": {""status"": ""mature"", ""room_age_days"": 516}, ""benchmarks"": {""portfolio_avg_revenue"": 1134.87, ""portfolio_avg_occupancy_rate"": 0.7, ""portfolio_avg_conversion_rate"": 0}, ""fee_snapshot"": {""component_source"": {""base_price_id"": 10, ""base_price_package_type"": ""custom""}, ""components_daily"": {""rent_fee"": 4700, ""other_fee"": 0, ""season_fee"": 0, ""initial_fee"": 0, ""utility_fee"": 0, ""cleaning_fee"": 0}, ""missing_components"": [""utility_fee"", ""cleaning_fee"", ""initial_fee"", ""other_fee"", ""season_fee""], ""available_components"": [""rent_fee""], ""total_effective_price_daily"": 4700}, ""peer_comparison"": {""price_gap"": 900, ""sample_size"": 3, ""price_gap_pct"": 23.7, ""room_size_gap"": -2.09, ""benchmark_mode"": ""address"", ""benchmark_scope"": ""municipality_fallback"", ""benchmark_strength"": ""broad""}}",12/5/2026 10:32,12/5/2026 10:32,12/5/2026 10:32
9,9,2,12/5/2026,63,30,medium,low_visibility,"[""low_visibility"", ""low_occupancy"", ""low_inquiry""]","{""metrics"": {""revenue"": 0, ""inquiry_count"": 0, ""occupancy_rate"": 0, ""conversion_rate"": 0, ""previous_revenue"": 0, ""reservation_count"": 0}, ""maturity"": {""status"": ""mature"", ""room_age_days"": null}, ""benchmarks"": {""portfolio_avg_revenue"": 1134.87, ""portfolio_avg_occupancy_rate"": 0.7, ""portfolio_avg_conversion_rate"": 0}, ""fee_snapshot"": {""component_source"": {""base_price_id"": null, ""base_price_package_type"": """"}, ""components_daily"": {""rent_fee"": 0, ""other_fee"": 0, ""season_fee"": 0, ""initial_fee"": 0, ""utility_fee"": 0, ""cleaning_fee"": 0}, ""missing_components"": [""rent_fee"", ""utility_fee"", ""cleaning_fee"", ""initial_fee"", ""other_fee"", ""season_fee""], ""available_components"": [], ""total_effective_price_daily"": 0}, ""peer_comparison"": {""price_gap"": 0, ""sample_size"": 0, ""price_gap_pct"": 0, ""room_size_gap"": 0, ""benchmark_mode"": """", ""benchmark_scope"": """", ""benchmark_strength"": ""broad""}}",12/5/2026 10:32,12/5/2026 10:32,12/5/2026 10:32
10,10,2,12/5/2026,81,53.84,high,overpriced,"[""overpriced"", ""low_occupancy"", ""low_inquiry"", ""above_peer_price""]","{""metrics"": {""revenue"": 0, ""inquiry_count"": 0, ""occupancy_rate"": 0, ""conversion_rate"": 0, ""previous_revenue"": 0, ""reservation_count"": 0}, ""maturity"": {""status"": ""mature"", ""room_age_days"": 516}, ""benchmarks"": {""portfolio_avg_revenue"": 1134.87, ""portfolio_avg_occupancy_rate"": 0.7, ""portfolio_avg_conversion_rate"": 0}, ""fee_snapshot"": {""component_source"": {""base_price_id"": 10, ""base_price_package_type"": ""custom""}, ""components_daily"": {""rent_fee"": 4700, ""other_fee"": 0, ""season_fee"": 0, ""initial_fee"": 0, ""utility_fee"": 0, ""cleaning_fee"": 0}, ""missing_components"": [""utility_fee"", ""cleaning_fee"", ""initial_fee"", ""other_fee"", ""season_fee""], ""available_components"": [""rent_fee""], ""total_effective_price_daily"": 4700}, ""peer_comparison"": {""price_gap"": 1538.89, ""sample_size"": 18, ""price_gap_pct"": 48.7, ""room_size_gap"": -1.08, ""benchmark_mode"": ""address"", ""benchmark_scope"": ""municipality_fallback"", ""benchmark_strength"": ""medium""}}",12/5/2026 10:32,12/5/2026 10:32,12/5/2026 10:32
